SHADOW (Dual-processor AMD Opteron 2.0GHz, 8GB Memory, Fedora Core 6)

Linux shadow 2.6.20-1.2952.fc6 #1 SMP Wed May 16 18:18:22 EDT 2007 x86_64 x86_64 x86_64 GNU/Linux

gcc (GCC) 4.1.1 20070105 (Red Hat 4.1.1-51)

MLton0 -- ~/devel/mlton/mlton-20051202-1.i386-linux/build/bin/mlton -codegen native -align 4 (* 32-bit *)
MLton1 -- ~/devel/mlton/mlton-20051202-1.i386-linux/build/bin/mlton -codegen native -align 8 (* 32-bit *)
MLton2 -- ~/devel/mlton/mlton-20051202-1.i386-linux/build/bin/mlton -codegen c -align 4 (* 32-bit *)
MLton3 -- ~/devel/mlton/mlton-20051202-1.i386-linux/build/bin/mlton -codegen c -align 8 (* 32-bit *)
MLton4 -- ~/devel/mlton/mlton.svn.trunk/build/bin/mlton -codegen amd64 -align 4 (* 64-bit *)
MLton5 -- ~/devel/mlton/mlton.svn.trunk/build/bin/mlton -codegen amd64 -align 8 (* 64-bit *)
MLton6 -- ~/devel/mlton/mlton.svn.trunk/build/bin/mlton -codegen c -align 4 (* 64-bit *)
MLton7 -- ~/devel/mlton/mlton.svn.trunk/build/bin/mlton -codegen c -align 8 (* 64-bit *)
run time ratio
benchmark         MLton0 MLton1 MLton2 MLton3 MLton4 MLton5 MLton6 MLton7
barnes-hut          1.00   0.93   1.07   0.94   0.96   0.86   0.97   0.91
boyer               1.00   1.08   1.42   1.18   1.38   1.37   1.50   1.45
checksum            1.00   1.01   0.75   0.80   0.61   0.61   3.17   3.18
count-graphs        1.00   0.99   1.01   1.03   2.19   1.70   2.42   1.85
DLXSimulator        1.00   1.24   1.21   1.33   1.69   1.99   1.77   1.99
fft                 1.00   0.83   0.98   0.88   1.04   0.94   1.12   0.91
fib                 1.00   1.00   1.41   1.38   1.19   1.09   1.46   1.38
flat-array          1.00   0.95   0.00   0.00   0.88   1.02   0.00   0.00
hamlet              1.00   1.19   2.36   2.82   1.73   1.49   3.37   3.31
imp-for             1.00   0.98   0.83   0.84   0.90   0.89   0.82   0.82
knuth-bendix        1.00   1.04   2.13   2.14   1.57   1.06   2.35   1.86
lexgen              1.00   1.01   1.87   1.45   1.47   1.10   1.57   1.21
life                1.00   1.07   1.12   1.15   1.68   1.11   1.68   1.05
logic               1.00   1.05   1.41   1.47   1.43   1.28   1.83   1.67
mandelbrot          1.00   1.02   1.17   1.17   0.86   0.87   0.93   0.93
matrix-multiply     1.00   0.80   1.65   1.41   0.92   0.94   0.77   0.74
md5                 1.00   1.01   1.27   1.26   1.92   1.33   2.77   2.23
merge               1.00   1.19   1.17   1.32   1.67   1.98   1.80   1.80
mlyacc              1.00   1.19   1.31   1.44   1.66   1.50   1.87   1.77
model-elimination   1.00   1.06   1.54   1.54   1.44   1.22   1.81   1.65
mpuz                1.00   1.01   1.27   1.29   1.67   1.29   2.81   2.46
nucleic             1.00   0.90   1.07   0.94   1.16   0.94   1.15   0.95
output1             1.00   1.00   1.82   1.69   1.07   1.07   1.37   1.57
peek                1.00   0.98   1.00   0.99   1.72   1.73   1.24   0.74
psdes-random        1.00   1.00   1.10   1.06   1.08   0.96   0.87   0.77
ratio-regions       1.00   1.01   1.18   1.18   1.21   1.06   1.45   1.28
ray                 1.00   0.95   1.15   1.13   1.08   0.97   1.17   0.96
raytrace            1.00   0.98   1.56   1.48   1.17   1.01   1.39   1.19
simple              1.00   0.96   1.63   1.57   1.38   0.96   2.11   1.74
smith-normal-form   1.00   1.00   1.01   1.00   0.82   0.83   0.81   0.83
tailfib             1.00   0.99   2.58   2.31   1.33   1.34   1.67   1.66
tak                 1.00   1.01   1.29   1.23   1.28   1.16   1.45   1.25
tensor              1.00   1.01   2.13   2.08   1.46   1.48   2.29   2.23
tsp                 1.00   1.00   1.09   1.06   1.10   1.09   1.10   1.06
tyan                1.00   1.09   1.19   1.33   1.59   1.37   1.89   1.66
vector-concat       1.00   0.98   2.03   2.08   0.78   0.78   0.85   0.79
vector-rev          1.00   1.12   2.29   2.29   1.39   1.15   1.68   1.61
vliw                1.00   1.02   1.55   1.67   2.04   1.49   2.63   2.06
wc-input1           1.00   0.99   1.01   1.04   1.25   1.00   1.23   1.00
wc-scanStream       1.00   1.01   1.23   1.23   1.03   0.97   1.23   1.19
zebra               1.00   1.04   0.78   0.81   1.56   1.02   1.15   0.79
zern                1.00   0.91   1.31   1.23   1.21   1.10   2.02   1.88
size
benchmark            MLton0    MLton1    MLton2    MLton3    MLton4    MLton5    MLton6    MLton7
barnes-hut          119,286   120,246   119,248   121,136   168,054   168,566   164,877   169,181
boyer               144,693   152,213   169,841   184,657   213,241   213,305   222,577   222,625
checksum             65,421    65,549    66,009    66,105    93,721    93,721   100,809   100,809
count-graphs         76,645    77,029    85,497    86,105   118,473   118,601   123,601   123,873
DLXSimulator        144,113   146,033   157,445   157,797   193,780   194,324   205,812   207,172
fft                  74,932    75,156    84,580    84,900   115,581   115,613   116,810   116,842
fib                  57,853    57,949    65,913    66,041    93,769    93,737   100,665   100,649
flat-array           57,901    57,997    65,865    65,993    93,753    93,753   100,537   100,537
hamlet            1,246,544 1,270,480 1,416,924 1,466,428 1,556,989 1,569,901 1,595,557 1,615,045
imp-for              57,757    57,853    65,817    65,945    93,641    93,641   100,313   100,297
knuth-bendix        124,125   125,885   136,425   139,273   168,980   169,700   179,748   181,492
lexgen              216,438   219,542   242,762   249,130   281,843   282,979   311,467   315,859
life                 75,973    77,061    84,513    86,721   117,545   117,513   121,673   121,657
logic               115,429   119,077   133,565   141,725   165,273   165,113   174,265   174,249
mandelbrot           57,837    57,933    65,897    66,025    93,609    93,609   100,377   100,377
matrix-multiply      59,364    59,524    67,488    67,744    94,265    94,265   100,937   100,937
md5                  93,173    93,909    95,457    96,705   126,084   126,516   133,444   134,564
merge                59,453    59,581    67,513    67,673    95,881    95,865   102,505   102,537
mlyacc              516,342   525,178   584,530   595,922   642,579   646,195   716,251   706,243
model-elimination   646,075   660,219   768,459   771,339   862,550   864,854   904,246   906,614
mpuz                 60,701    60,893    69,625    69,977    97,481    97,449   105,033   105,161
nucleic             207,616   212,160   169,103   179,759   270,792   270,904   220,836   220,932
